delay_ms,horizon_ms,cost_regime,observations,decision_rows_total,decision_rows_with_zero_or_missing_imbalance,observations_decision_state_valid,arrival_missing,future_missing,mean_gross_markout_bps,mean_markout_long_bps,mean_markout_short_bps,mean_cross_to_cross_bps,mean_known_cost_bps,mean_cost_adjusted_bps,median_cost_adjusted_bps,prob_adjusted_positive,representative_order_shares,block_bootstrap_se_bps,block_bootstrap_ci_low_bps,block_bootstrap_ci_high_bps,label,note
0,100,structural_floor,2458422,2691000,232578,2458422,0,0,-2.9021178707952138,-2.9121460193675706,-2.9128516613509654,-2.9064262438670188,1.7006890412515339,-4.602806912046748,-3.353593218034515,0.001058402503719866,100.0,0.10016001041954646,-4.805301036855585,-4.408249687035108,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,100,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.9021178707952138,-2.9121460193675706,-2.9128516613509654,-2.9064262438670188,4.825469059730538,-7.727586930525751,-6.015193936961807,0.00035713966113222223,100.0,0.19958893126384467,-8.13663971952069,-7.356768744546296,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,100,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.9021178707952138,-2.9121460193675706,-2.9128516613509654,-2.9064262438670188,3.488810030556223,-6.390927901351437,-4.971676772524864,0.000466559443415329,100.0,0.14981914374910626,-6.6981004803407025,-6.108102644944736,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,250,structural_floor,2458422,2691000,232578,2458422,0,0,-2.8913871562648685,-2.911023995736954,-2.9139736849815816,-2.9011621966553207,1.7006890412515339,-4.592076197516402,-3.35001519490622,0.00241537051002635,100.0,0.10250722076114371,-4.793282332283812,-4.392557312682213,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,250,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.8913871562648685,-2.911023995736954,-2.9139736849815816,-2.9011621966553207,4.825469059730538,-7.7168562159954055,-6.012782733344618,0.0008147502747697507,100.0,0.20623015452834026,-8.117393781444308,-7.324010383902653,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,250,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.8913871562648685,-2.911023995736954,-2.9139736849815816,-2.9011621966553207,3.488810030556223,-6.38019718682109,-4.946381104116954,0.0010811813431542672,100.0,0.1543447522425296,-6.682994138114155,-6.082220330192709,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,500,structural_floor,2458422,2691000,232578,2458422,0,0,-2.8776837290664634,-2.9114368121200687,-2.913560868598467,-2.8938959901365946,1.7006890412515339,-4.578372770317997,-3.3467599976935802,0.004561462596738884,100.0,0.10100160299037678,-4.774177868848357,-4.379975185403975,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,500,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.8776837290664634,-2.9114368121200687,-2.913560868598467,-2.8938959901365946,4.825469059730538,-7.703152788797002,-6.0095708005836865,0.0015518084364685965,100.0,0.2030022117791254,-8.118909615587402,-7.313359355446592,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,500,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.8776837290664634,-2.9114368121200687,-2.913560868598467,-2.8938959901365946,3.488810030556223,-6.366493759622686,-4.91375151835277,0.0020350452444698264,100.0,0.15172492474522714,-6.668239102087076,-6.072671799929666,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,1000,structural_floor,2458422,2691000,232578,2458422,0,0,-2.8547444974563354,-2.9121827544665773,-2.9128149262519583,-2.881671230072091,1.7006890412515339,-4.555433538707869,-3.340544097593277,0.009086723109376665,100.0,0.10074339468502505,-4.75185180822179,-4.3608042829836275,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,1000,accessible_fixed,2458422,2691000,232578,2458422,0,0,-2.8547444974563354,-2.9121827544665773,-2.9128149262519583,-2.881671230072091,4.825469059730538,-7.680213557186872,-6.00164489790364,0.0031211077675028943,100.0,0.19862630757240055,-8.091929357846752,-7.306865701596606,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
0,1000,accessible_tiered,2458422,2691000,232578,2458422,0,0,-2.8547444974563354,-2.9121827544665773,-2.9128149262519583,-2.881671230072091,3.488810030556223,-6.343554528012557,-4.863631818325517,0.004073751373848754,100.0,0.14932645814556766,-6.647941917732073,-6.060299704229735,IDEALIZED_REFERENCE_EXECUTION,"assumes sufficient displayed size, immediate aggressive fill, no additional slippage, no impact and no queue effect; this is IDEALIZED_REFERENCE_EXECUTION, not backtest P&L"
