imbalance_bin,spread_class,price_band,observations,realized_move_bps,required_move_bps_spread_only,mean_ratio_spread_only,required_move_bps_spread_plus_structural_floor,mean_ratio_spread_plus_structural_floor,required_move_bps_spread_plus_accessible_fixed,mean_ratio_spread_plus_accessible_fixed,required_move_bps_spread_plus_accessible_tiered,mean_ratio_spread_plus_accessible_tiered,prob_realized_exceeds_spread_only,prob_realized_exceeds_spread_plus_structural_floor,prob_realized_exceeds_spread_plus_accessible_fixed,prob_realized_exceeds_spread_plus_accessible_tiered,prob_ratio_spread_only_above_one,realized_move_bps_p05,realized_move_bps_p25,realized_move_bps_p50,realized_move_bps_p75,realized_move_bps_p95,required_move_bps_spread_only_p05,required_move_bps_spread_only_p25,required_move_bps_spread_only_p50,required_move_bps_spread_only_p75,required_move_bps_spread_only_p95,required_move_bps_spread_plus_structural_floor_p05,required_move_bps_spread_plus_structural_floor_p25,required_move_bps_spread_plus_structural_floor_p50,required_move_bps_spread_plus_structural_floor_p75,required_move_bps_spread_plus_structural_floor_p95,required_move_bps_spread_plus_accessible_fixed_p05,required_move_bps_spread_plus_accessible_fixed_p25,required_move_bps_spread_plus_accessible_fixed_p50,required_move_bps_spread_plus_accessible_fixed_p75,required_move_bps_spread_plus_accessible_fixed_p95,required_move_bps_spread_plus_accessible_tiered_p05,required_move_bps_spread_plus_accessible_tiered_p25,required_move_bps_spread_plus_accessible_tiered_p50,required_move_bps_spread_plus_accessible_tiered_p75,required_move_bps_spread_plus_accessible_tiered_p95,horizon_ms,delay_ms,quantile_levels_pct,cost_ledger_id,label,note
"[-1.0,-0.8)",ONE_TICK,5-25,158,0.0,16.05740893762779,0.0,26.218966966040004,0.0,48.198032112485635,0.0,38.12896414909215,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,16.01281024819856,16.01281024819856,16.01281024819856,16.06425702811245,16.246953696181965,26.14669486358317,26.14669486358317,26.14669486358317,26.230064102067438,26.52612442788928,48.064092299480606,48.064092299480606,48.064092299480606,48.218597864125314,48.767278899434004,38.0235858892242,38.0235858892242,38.0235858892242,38.145144487919524,38.57682361488115,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",ONE_TICK,25-50,3685,0.07388628872902517,2.6683908522222985,0.028358208955223882,4.527689971591736,0.016665310462266665,8.005918275529602,0.009451915322525263,6.505558796045068,0.011608472349550059,0.0018995929443690637,0.0008141112618724559,0.0,0.0,0.0018995929443690637,0.0,0.0,0.0,0.0,-0.0,2.080948912704193,2.127885945313331,2.414584087890861,3.0326004548900682,3.7209302325581395,3.5762309106230274,3.6522515550175236,4.116599543094917,5.117581346609813,6.232475450273062,6.243279818011164,6.384110673979004,7.244335355700569,9.098721170692313,11.16417548748929,5.118620088562674,5.229433934247147,5.906307343143215,7.365436972936777,8.990636968695096,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",ONE_TICK,50-100,10778,0.03423217323547654,1.530467741209034,0.02161811096678419,2.6846676478097984,0.012328415607687026,4.591645809330954,0.007205656621117764,3.81901473155499,0.00866526170557755,0.001206160697717573,0.000278344776396363,0.0,0.00018556318426424197,0.001206160697717573,-0.0,0.0,-0.0,-0.0,0.0,1.05224391013837,1.3573125212080082,1.4883167220385722,1.8052170773535519,1.9525529629991214,1.910143310327784,2.40422469712765,2.6163975487575213,3.1296500074853446,3.3682776261508494,3.1568424579653724,4.072121805855762,4.4651716912684325,5.4159771423472325,5.8580401725285105,2.6900212436120103,3.410221710837437,3.719497949300369,4.467649646409338,4.81549106102685,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",ONE_TICK,100-200,2268,0.03555054444219618,0.793690446652365,0.046296296296296294,1.4914014687503145,0.024487924637993434,2.3811352314722183,0.015431703754259767,2.0796434207683743,0.017590842860993425,0.005291005291005291,0.0030864197530864196,0.0,0.0008818342151675485,0.005291005291005291,0.0,-0.0,-0.0,0.0,0.35617102072111323,0.7095142318942846,0.7115665136798662,0.7621660759879578,0.8936949819026766,0.9633447329126728,1.355073892244551,1.3583976529383874,1.4403459540367383,1.6533637637419831,1.7661655421612277,2.1285930385133853,2.134750175531428,2.286556319890397,2.6811648183491865,2.8901270065157556,1.8809263157465184,1.8857711674904407,2.0052224784269823,2.3157267988657653,2.4801520546853126,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",ONE_TICK,200+,934,0.033660758516745395,0.47978975234552296,0.07012847965738758,0.9830266345570922,0.03423077812078458,1.4393922776451815,0.023375785874375853,1.3386159867296081,0.025137163498195662,0.010706638115631691,0.0021413276231263384,0.0021413276231263384,0.0021413276231263384,0.010706638115631691,-0.0,0.0,-0.0,-0.0,0.24080022934850717,0.47676941047462396,0.47896161122686015,0.48036507745886875,0.4808039041277015,0.48168396714915346,0.9781351013299687,0.9816854353479445,0.9839583906163842,0.9846690834718692,0.986094371773431,1.4303309628728313,1.4369077746524757,1.4411183079916063,1.4424348301782832,1.4450751039506948,1.331485916625096,1.3366610077207772,1.3399741469693651,1.3410100777982468,1.343087628035473,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,5-25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,25-50,327,0.13399992863253699,7.072649411284641,0.020514780835881753,8.838048827691635,0.0157554377305213,12.107030093793096,0.011254740650105715,10.703583899021284,0.012779670070059087,0.0030581039755351682,0.0,0.0,0.0,0.0030581039755351682,0.0,-0.0,0.0,-0.0,1.0451514598657257,4.1700551789382345,4.191114836546522,6.2754941951678695,7.439092688023518,12.00960768614892,5.667999144517729,5.695584758994646,7.779374798912493,9.944774658148784,13.685226283116178,8.340980007282043,8.383108129357254,10.462659018251129,14.817559315521525,18.622668906067,7.213572877983983,7.248965601585298,9.330479863793197,12.700884736244731,16.446470694442556,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,50-100,2644,0.03215831170455047,4.988170060284625,0.007549816180205741,6.06673579795168,0.005770537136364374,7.805170020468824,0.0042336299999526554,7.110600486197577,0.0047310407840320395,0.0015128593040847202,0.0007564296520423601,0.00037821482602118004,0.00037821482602118004,0.0015128593040847202,0.0,-0.0,-0.0,0.0,-0.0,2.105174566562752,2.7148092846477536,3.0645078911078194,4.593828956435189,10.865628395508873,2.963321032664823,3.7618356218728417,4.121684028012883,5.748672577204067,12.194114353109887,4.210570744454828,5.428513290924846,5.9786264439727725,7.6570851978197805,14.489473294947176,3.743494534948333,4.767969208622774,5.2296493442036445,6.8837897467552995,13.536962695200845,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,100-200,666,0.028127081181378924,2.8892153193530334,0.019829462921568185,3.6378126536766655,0.01383277909740654,4.6409419838361075,0.009877205946244891,4.2869307347408485,0.01095651671418189,0.006006006006006006,0.006006006006006006,0.0,0.0015015015015015015,0.006006006006006006,0.0,0.0,-0.0,-0.0,0.44746737787479174,1.5179113539769278,1.784598911394664,1.923631816870251,2.8505258369834277,7.757951900698216,2.1941200826296794,2.5434277530866147,2.725534086974137,3.498083146370247,8.56494142339903,3.0359379194418237,3.555896961724795,3.8452295210200615,4.502721003506105,9.698192490531355,2.7566384887017854,3.2047859540503847,3.4374892704180136,4.132882582765768,9.28391503612701,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-1.0,-0.8)",WIDER_THAN_ONE_TICK,200+,764,0.03231006731135558,1.0489736542165502,0.03176291240754592,1.5521790984954895,0.021019505201363857,2.0084746849798734,0.016118252358588835,1.9077308409541158,0.016990159580509336,0.002617801047120419,0.0013089005235602095,0.0,0.0,0.002617801047120419,-0.20267048164043905,-0.0,-0.0,0.0,0.47805090096872543,0.9537434430138293,0.958543014617781,0.9609840476648087,0.962000962000962,1.4384694684855315,1.4551795630004762,1.4614659440656337,1.4646631596728814,1.4659950935128192,1.9415347796968099,1.9075323695243926,1.9171319716729958,1.9220142720653661,1.924048198520275,2.397518092250756,1.808614633819304,1.8166797094030571,1.8207815585965275,1.8224903554301792,2.2969188786706276,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
"[-0.8,-0.6)",ONE_TICK,5-25,653,0.0,16.043253819771436,0.0,26.19602856844236,0.0,48.155520966408794,0.0,38.09551817003315,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,16.01281024819856,16.01281024819856,16.01281024819856,16.06425702811245,16.142050040355127,26.14669486358317,26.14669486358317,26.14669486358317,26.230064102067438,26.356127584781618,48.064092299480606,48.064092299480606,48.064092299480606,48.218597864125314,48.45222774633251,38.0235858892242,38.0235858892242,38.0235858892242,38.145144487919524,38.328954725330895,100,0,5|25|50|75|95,M2-COST-LEDGER-v1,BREAKEVEN_HURDLE,"required_move_bps_spread_only is the full quoted spread at the decision instant (cross in, cross out); the fee terms are the ledger round trip in bps of entry notional; realized_move_bps is the side-signed mid move, so realized minus spread_only differs from cross_to_cross_bps by the measured spread-change term"
